ID,国語,数学,英語,理科,社会,音楽,体育,技術家庭,合計
10664,61,41,74,58,84,51,78,51,498
10665,72,31,68,57,59,68,82,65,502
10666,68,50,76,25,57,40,72,17,405
10667,70,39,76,47,85,46,66,67,496
10668,73,74,40,48,63,64,57,51,470
10669,70,30,79,62,77,40,75,60,493
10670,80,45,71,35,69,45,71,65,481
10671,64,48,64,26,68,55,72,52,449
10672,65,60,46,59,76,25,60,68,459
10673,74,60,71,39,70,50,63,63,490
10674,67,64,61,25,65,13,66,59,420
10675,81,63,81,42,75,36,63,52,493
10676,60,25,68,64,63,35,69,10,394
10677,71,59,67,21,68,48,66,68,468
10678,78,62,64,34,74,57,77,51,497
10679,57,40,71,38,78,69,66,74,493
10680,61,52,73,61,85,65,62,52,511
10681,82,55,62,65,66,37,70,85,522
10682,49,42,61,43,73,57,68,32,425
10683,77,48,56,57,67,67,57,33,462
10684,76,42,69,56,76,56,60,57,492
10685,66,39,69,59,63,62,70,66,494
10686,64,47,68,66,65,34,80,85,509
10687,65,62,72,50,46,33,91,86,505
10688,61,54,64,27,75,50,63,64,458
10689,67,37,67,37,79,55,69,56,467
10690,74,49,82,44,63,39,63,56,470
10691,72,33,79,53,44,27,48,49,405
10692,71,40,71,49,83,51,65,70,500
10693,56,41,83,65,67,37,69,72,490
10694,79,35,47,61,69,69,59,56,475
10695,74,34,83,25,81,47,75,55,474
10696,71,11,67,74,64,27,79,66,459
10697,82,62,60,63,67,54,68,33,489
10698,76,31,53,69,74,28,71,45,447
10699,55,45,48,50,57,38,58,48,399
10700,79,37,58,56,75,77,87,60,529
10701,76,46,54,61,63,53,48,45,446
10702,56,54,63,60,76,42,59,80,490
10703,73,29,58,52,71,36,69,46,434
10704,86,57,71,58,66,70,58,49,515
10705,78,48,54,50,85,55,62,64,496
10706,83,50,60,72,78,49,57,45,494
10707,77,66,76,55,82,33,88,56,533
10708,79,32,53,57,72,45,41,80,459
10709,58,48,58,70,71,48,65,42,460
10710,65,48,53,58,69,66,52,33,444
10711,77,59,79,65,75,41,66,41,503
10712,69,17,63,40,69,53,60,70,441
10713,75,47,61,29,73,37,68,52,442
10714,72,45,63,52,82,50,74,67,505
10715,66,57,36,52,80,43,57,66,457
10716,62,81,66,54,92,45,56,69,525
10717,74,18,78,50,69,55,72,57,473
10718,63,28,60,53,66,61,80,50,461
10719,68,31,66,55,77,71,53,58,479
10720,63,74,49,32,74,41,67,48,448
10721,67,41,61,24,53,60,34,62,402
10722,74,52,71,49,60,4,58,32,400
10723,66,67,45,61,58,45,57,51,450
10724,60,72,78,45,60,32,68,76,491
10725,71,49,70,41,62,29,67,56,445
10726,73,42,86,75,78,54,82,47,537
10727,83,26,62,51,69,27,68,69,455
10728,71,58,66,38,65,63,71,59,491
10729,65,49,42,41,78,49,60,55,439
10730,75,65,80,45,52,37,74,79,507
10731,66,48,91,55,65,52,44,63,484
10732,72,52,45,40,75,28,64,81,457
10733,66,12,73,56,70,66,48,39,430
10734,71,56,55,53,73,27,47,54,436
10735,64,35,60,46,73,50,69,44,441
10736,73,40,48,65,76,53,68,53,476
10737,65,33,55,59,74,33,65,69,453
10738,75,51,66,45,68,56,68,60,489
10739,77,62,66,64,65,64,92,64,554
10740,61,54,58,38,59,37,76,70,453
10741,67,94,84,65,74,46,67,58,555
10742,73,39,74,26,72,72,53,64,473
10743,74,66,54,45,62,62,75,48,486
10744,71,37,69,70,44,40,71,59,461
10745,68,44,67,52,70,33,84,74,492
10746,70,78,83,48,82,19,52,57,489
10747,61,42,58,54,81,64,65,56,481
10748,83,59,70,46,81,52,64,55,510
10749,68,47,45,42,77,29,89,32,429
10750,76,65,63,51,59,53,80,37,484
10751,72,43,67,48,67,39,72,57,465
10752,53,48,59,61,77,17,68,31,414
10753,62,31,47,62,67,66,64,28,427
10754,70,71,74,64,76,48,67,84,554
10755,54,60,59,65,53,47,65,68,471
10756,69,58,63,34,70,44,72,19,429
10757,78,49,72,34,69,49,59,50,460
10758,74,60,70,42,75,43,66,72,502
10759,69,66,59,57,77,49,73,80,530
10760,59,53,74,49,82,21,62,51,451
10761,86,69,50,33,81,41,77,64,501
10762,65,47,65,52,67,50,53,60,459
10763,69,27,75,51,67,17,73,37,416
10764,71,52,52,68,68,36,62,41,450
10765,60,39,55,55,73,71,50,74,477
10766,69,47,62,35,59,40,64,45,421
10767,59,63,48,29,84,14,63,67,427
10768,67,47,80,46,79,36,67,69,491
10769,81,53,56,43,65,45,53,46,442
10770,66,72,85,42,58,73,78,76,550
10771,72,48,41,57,73,16,38,39,384
10772,74,72,63,59,49,73,59,74,523
10773,53,67,68,70,81,43,66,66,514
10774,83,54,78,58,78,56,60,50,517
10775,83,52,87,65,76,65,77,56,561
10776,65,65,56,61,62,45,56,66,476
10777,69,40,73,40,61,43,81,46,453
10778,83,51,69,37,68,56,77,56,497
10779,66,80,84,40,69,31,68,76,514
10780,82,53,54,67,80,39,59,70,504
10781,79,41,63,44,68,40,64,61,460
10782,76,48,65,54,68,69,59,75,514
10783,69,47,63,48,74,41,52,78,472
10784,66,59,54,42,82,47,69,67,486
10785,72,33,64,50,67,42,56,48,432
10786,75,44,47,36,74,34,73,14,397
10787,75,62,68,64,59,40,71,57,496
10788,76,85,55,62,70,27,75,54,504
10789,75,48,60,49,80,39,70,75,496
10790,58,34,69,63,80,52,68,81,505
10791,62,65,60,58,57,40,63,62,467
10792,78,46,58,40,65,54,81,66,488
10793,83,61,85,51,83,41,67,56,527
10794,70,52,49,56,65,56,57,37,442
10795,77,53,73,64,66,49,65,48,495
10796,58,37,69,50,55,15,69,33,386
10797,57,58,58,21,74,35,71,86,460
10798,71,56,82,71,70,42,78,53,523
10799,69,24,54,35,72,26,76,97,453
10800,72,80,68,41,78,38,90,46,513
10801,84,22,66,44,91,49,71,38,465
10802,77,57,56,37,53,32,70,82,464
10803,79,84,49,43,90,56,65,33,499
10804,68,26,70,60,75,56,48,50,453
10805,61,44,60,30,73,44,57,44,413
10806,56,51,63,52,73,51,65,77,488
10807,60,37,54,54,77,26,86,59,453
10808,80,53,57,25,65,67,54,64,465
10809,83,21,72,47,62,47,88,68,488
10810,74,20,46,64,61,64,71,61,461
10811,78,35,57,50,73,57,62,58,470
10812,69,47,57,29,67,59,74,50,452
10813,57,63,74,39,65,38,56,69,461
10814,81,47,67,66,88,58,77,59,543
10815,50,58,49,38,64,21,55,40,375
10816,80,32,72,41,52,56,56,44,433
10817,76,61,65,15,75,50,80,70,492
10818,85,46,44,44,71,49,72,51,462
10819,75,41,86,70,67,11,64,49,463
10820,68,56,81,37,59,67,68,59,495
10821,65,77,65,65,73,39,87,56,527
10822,67,49,47,43,60,54,76,48,444
10823,64,50,49,40,80,36,40,43,402
10824,87,56,44,39,56,26,90,68,466
10825,68,27,60,38,69,46,63,63,434
10826,71,73,63,40,81,60,74,53,515
10827,71,59,70,34,69,34,60,54,451
10828,74,64,81,31,69,37,83,48,487
10829,79,53,46,45,79,56,54,56,468
10830,75,21,71,39,48,45,70,55,424
10831,79,42,51,57,81,36,61,56,463
10832,69,19,72,71,69,42,65,55,462
10833,65,49,67,52,78,48,71,63,493
10834,72,43,58,47,62,18,82,64,446
10835,70,39,52,31,69,55,75,66,457
10836,69,39,70,37,62,61,72,64,474
10837,78,33,57,64,73,36,64,46,451
10838,65,45,73,59,61,48,64,11,426
10839,66,29,73,55,73,30,73,82,481
10840,78,6,49,44,66,55,69,42,409
10841,76,56,69,34,82,63,52,43,475
10842,58,49,58,42,76,59,65,56,463
10843,74,69,59,39,66,57,63,52,479
10844,65,43,87,39,68,62,79,40,483
10845,75,59,76,39,77,39,71,57,493
10846,68,42,57,50,68,60,73,37,455
10847,66,59,47,77,62,42,91,30,474
10848,69,33,77,22,60,67,84,59,471
10849,61,62,63,49,68,66,65,64,498
10850,65,23,66,49,72,82,47,46,450
10851,63,62,76,41,62,54,79,52,489
10852,69,71,50,48,59,53,61,39,450
10853,66,57,55,44,70,53,73,66,484
10854,66,49,80,46,81,46,74,56,498
10855,62,63,58,30,81,39,64,41,438
10856,73,71,51,37,75,40,68,58,473
10857,63,38,70,57,80,74,56,32,470
10858,66,44,64,42,71,66,56,46,455
10859,54,48,65,41,75,30,69,52,434
10860,74,41,51,58,63,35,77,60,459
10861,61,61,73,49,88,32,54,64,482
10862,78,77,71,56,54,60,65,71,532
10863,85,86,81,40,53,43,78,70,536
10864,75,56,63,55,68,47,60,65,489
10865,62,59,54,60,73,54,67,50,479
10866,74,51,66,43,82,35,64,52,467
10867,61,67,71,66,81,72,55,62,535
10868,53,79,71,52,80,69,62,68,534
10869,66,55,52,45,67,46,66,61,458
10870,59,50,59,41,75,47,54,56,441
10871,68,15,57,54,74,27,72,57,424
10872,69,34,73,61,81,51,64,60,493
10873,69,50,74,51,65,56,81,34,480
10874,62,12,58,40,71,61,55,38,397
10875,74,44,53,68,72,53,80,51,495
10876,77,60,80,37,65,58,50,35,462
10877,86,43,58,47,67,59,67,65,492
10878,59,42,68,62,79,59,50,46,465
10879,65,28,59,41,66,25,52,71,407
10880,78,58,53,65,48,56,99,52,509
10881,67,58,64,61,57,32,62,26,427
10882,80,62,73,59,77,59,51,65,526
10883,85,75,45,36,70,52,64,34,461
10884,76,69,78,57,62,66,64,74,546
10885,76,55,57,38,54,32,70,58,440
10886,78,56,62,45,54,44,42,37,418
10887,58,58,60,38,70,27,56,33,400
10888,70,68,58,60,70,56,76,55,513
10889,72,52,56,51,70,45,74,62,482
10890,86,61,56,74,81,48,63,46,515
10891,55,69,53,30,78,45,68,41,439
10892,73,69,70,45,73,55,62,48,495
10893,77,61,70,49,60,55,71,45,488
10894,70,55,61,48,76,69,69,54,502
10895,70,56,100,40,61,44,79,61,511
10896,62,31,77,41,87,72,68,51,489
10897,87,45,68,43,75,62,80,57,517
10898,87,47,67,44,84,58,61,52,500
10899,69,67,64,50,71,38,72,75,506
10900,75,63,64,46,57,77,65,49,496
10901,76,65,55,36,84,44,59,57,476
10902,64,49,67,50,62,63,63,63,481
10903,65,54,58,31,91,61,84,63,507
10904,73,20,63,55,72,58,75,54,470
10905,70,58,62,81,71,60,63,41,506
10906,72,56,49,62,68,35,74,77,493
10907,65,42,84,75,56,73,69,32,496
10908,75,64,48,60,74,55,74,21,471
10909,71,46,68,84,69,28,61,56,483
10910,59,72,51,49,68,60,52,35,446
10911,72,29,74,21,80,74,59,56,465
10912,84,47,59,12,77,60,46,57,442
10913,75,43,73,33,71,39,85,56,475
10914,77,39,39,43,64,67,63,44,436
10915,67,59,48,59,68,40,64,38,443
10916,78,21,69,57,79,49,59,38,450
10917,93,72,64,27,68,25,75,52,476
10918,60,45,37,39,66,44,71,48,410
10919,65,52,59,32,70,55,54,63,450
10920,75,42,71,47,74,15,84,47,455
10921,69,39,54,62,71,42,50,63,450
10922,58,73,67,52,71,51,69,49,490
10923,71,27,73,57,71,59,80,55,493
10924,69,77,62,42,53,35,87,51,476
10925,68,37,67,34,52,41,40,31,370
10926,76,69,57,45,53,47,68,86,501
10927,73,34,42,53,62,56,63,67,450
10928,71,33,62,50,73,68,74,66,497
10929,74,68,49,28,57,59,76,61,472
10930,73,67,43,51,73,41,58,50,456
10931,82,38,61,76,68,52,57,55,489
10932,74,26,75,33,71,77,62,74,492
10933,58,40,58,43,64,40,77,35,415
10934,90,58,63,77,88,36,91,42,545
10935,81,54,71,19,70,47,74,49,465
10936,73,26,37,31,71,37,71,84,430
10937,70,15,53,51,73,21,65,46,394
10938,54,45,53,38,80,33,81,66,450
10939,57,66,76,68,58,36,65,50,476
10940,72,63,63,42,75,9,60,59,443
10941,63,62,63,56,70,67,66,66,513
10942,63,52,62,51,55,45,64,67,459
10943,89,36,73,84,70,71,69,38,530
10944,69,61,61,81,74,46,62,75,529
10945,60,21,63,72,74,45,75,31,441
10946,63,47,47,39,64,47,52,58,417
10947,71,63,42,38,77,7,74,53,425
10948,65,59,60,56,82,26,59,55,462
10949,56,36,59,57,70,35,58,49,420
10950,66,47,69,55,83,25,62,45,452
10951,68,36,63,35,63,56,57,40,418
10952,69,80,63,55,84,76,73,66,566
10953,60,31,68,64,70,61,69,74,497
10954,76,52,69,44,68,44,74,45,472
10955,84,40,86,45,60,52,63,50,480
10956,68,43,49,66,63,32,82,54,457
10957,66,44,63,40,64,57,50,50,434
10958,74,64,73,53,58,55,79,59,515
10959,77,51,61,59,66,66,79,64,523
10960,64,74,60,50,68,41,76,52,485
10961,78,60,61,50,71,37,61,62,480
10962,74,37,58,48,90,48,52,75,482
10963,69,13,66,54,52,40,61,71,426
10964,72,54,79,50,73,46,72,30,476
10965,82,12,47,25,70,27,77,18,358
10966,61,44,71,56,73,93,54,57,509
10967,76,48,53,48,48,18,74,64,429
10968,63,72,58,73,74,40,76,57,513
10969,59,56,76,20,80,41,79,71,482
10970,62,39,60,60,76,51,70,54,472
10971,68,33,47,45,59,33,63,54,402
10972,77,37,53,59,77,58,62,51,474
10973,82,49,61,65,42,61,83,72,515
10974,76,34,58,50,61,55,52,68,454
10975,78,8,64,57,86,39,83,66,481
10976,72,51,54,50,61,58,58,27,431
10977,71,65,72,49,73,47,66,36,479
10978,69,59,60,56,68,54,63,60,489
10979,58,48,68,62,69,20,69,43,437
10980,74,56,59,48,70,50,73,37,467
10981,56,71,84,38,71,20,65,56,461
10982,66,52,63,41,66,70,47,66,471
10983,72,24,65,45,50,30,69,62,417
10984,73,73,50,90,68,62,55,49,520
10985,74,45,55,30,72,54,76,37,443
10986,75,33,51,22,66,43,69,65,424
10987,73,31,65,72,79,36,76,67,499
10988,63,35,87,57,88,31,63,48,472
10989,80,65,52,42,91,50,63,75,518
10990,97,38,50,40,45,37,45,73,425
10991,62,68,52,28,62,44,59,54,429
10992,65,52,71,63,73,69,47,46,486
10993,67,62,52,65,65,41,68,63,483
10994,80,33,68,33,63,55,73,65,470
10995,81,44,63,35,70,50,75,62,480
10996,70,34,63,36,77,39,58,63,440
10997,74,36,63,28,63,29,48,62,403
10998,77,70,58,49,60,62,80,46,502
10999,61,51,62,30,56,67,51,72,450
11000,76,46,66,49,58,34,66,62,457
11001,69,48,53,45,74,56,52,57,454
11002,78,44,50,43,61,47,58,39,420
11003,68,16,53,53,72,43,57,50,412
11004,60,52,46,42,74,50,67,52,443
11005,53,58,45,78,72,22,69,40,437
11006,80,50,80,67,56,55,79,50,517
11007,72,51,74,56,78,36,66,59,492
11008,62,68,61,42,74,32,68,70,477
11009,61,26,72,29,66,64,73,44,435
11010,72,47,67,55,70,52,65,14,442
11011,61,57,48,52,77,74,76,24,469
11012,82,38,73,26,66,56,78,76,495
11013,68,48,39,44,66,54,67,48,434
11014,84,66,88,53,81,42,63,57,534
11015,83,73,71,41,62,57,56,57,500
11016,71,40,80,58,56,31,58,59,453
11017,64,52,69,65,75,51,66,72,514
11018,67,88,62,52,67,49,69,62,516
11019,75,66,71,45,57,50,43,61,468
11020,61,18,76,34,68,63,83,70,473
11021,71,43,82,30,78,46,66,53,469
11022,71,8,70,68,61,51,62,54,445
11023,82,34,82,32,72,53,74,57,486
11024,71,45,40,62,68,52,70,43,451
11025,75,50,85,33,70,46,65,48,472
11026,83,81,61,49,72,37,49,53,485
11027,75,39,66,51,74,62,84,64,515
11028,75,60,71,45,70,48,75,49,493
11029,73,55,71,77,74,71,65,54,540
11030,51,69,63,49,77,63,45,68,485
11031,66,66,55,67,85,42,70,74,525
11032,71,28,67,39,69,56,53,58,441
11033,63,55,60,30,69,52,65,66,460
11034,72,85,40,61,59,32,51,32,432
11035,68,32,72,64,72,72,59,55,494
11036,66,58,64,61,84,58,63,50,504
11037,48,53,50,42,53,59,49,26,380
11038,64,86,59,35,74,46,42,75,481
11039,72,76,66,41,66,53,80,34,488
11040,80,38,62,37,64,57,64,36,438
11041,77,35,53,45,62,44,65,60,441
11042,64,49,55,48,75,45,49,39,424
11043,88,44,66,31,66,37,67,42,441
11044,66,53,63,72,66,48,78,52,498
11045,62,55,77,55,58,35,71,65,478
11046,64,27,60,54,77,43,61,34,420
11047,75,43,66,38,73,37,52,80,464
11048,86,23,58,61,68,33,69,35,433
11049,77,58,53,55,75,81,60,47,506
11050,70,37,70,51,63,29,85,48,453
11051,76,30,79,69,79,55,76,59,523
11052,73,46,66,47,78,50,64,61,485
11053,63,34,58,64,69,55,59,22,424
11054,68,45,85,56,65,57,64,58,498
11055,73,57,47,57,74,64,63,38,473
11056,67,46,46,42,89,48,69,59,466
11057,65,60,51,31,69,48,69,69,462
11058,75,47,76,24,65,45,73,80,485
11059,74,83,60,46,69,29,61,69,491
11060,60,55,47,51,71,58,68,59,469
11061,69,50,61,58,67,50,65,62,482
11062,68,23,46,59,63,87,64,77,487
11063,64,42,68,60,53,41,57,44,429
11064,54,49,79,21,85,50,51,49,438
11065,70,25,43,49,66,53,56,52,414
11066,70,6,37,44,66,52,60,70,405
11067,82,48,58,59,76,71,56,23,473
11068,90,59,71,58,90,70,59,59,556
11069,76,73,52,62,83,45,72,53,516
11070,73,34,54,48,56,50,73,75,463
11071,58,29,77,60,65,56,66,47,458
11072,66,56,47,50,71,61,59,70,480
11073,65,47,60,60,74,79,34,79,498
11074,67,45,48,57,63,62,55,44,441
11075,78,68,64,63,74,49,65,50,511
11076,70,37,65,69,67,73,65,72,518
11077,67,9,54,49,64,47,71,38,399
11078,67,32,72,72,68,45,73,56,485
11079,73,49,78,46,68,61,66,71,512
11080,74,68,65,40,68,54,60,93,522
11081,55,43,72,60,58,28,87,52,455
11082,69,19,58,44,72,32,64,52,410
11083,67,55,66,41,54,49,57,20,409
11084,81,59,47,48,74,44,64,33,450
11085,78,51,66,27,68,49,67,63,469
11086,71,43,58,55,69,49,68,53,466
11087,60,51,77,56,74,24,67,52,461
11088,40,63,53,41,86,50,51,77,461
11089,51,53,70,45,64,56,81,66,486
11090,73,69,80,79,60,35,59,73,528
11091,67,57,71,25,87,43,82,61,493
11092,66,55,57,43,84,24,100,57,486
11093,67,39,70,34,60,46,76,42,434
11094,87,50,48,36,81,42,46,41,431
11095,54,52,72,70,57,59,70,87,521
11096,53,81,40,42,90,45,55,72,478
11097,74,60,58,54,57,55,69,46,473
11098,74,88,70,52,74,42,51,37,488
11099,70,31,67,49,65,52,59,49,442
11100,64,39,60,40,76,38,68,60,445
11101,73,54,68,52,68,44,87,51,497
11102,72,50,91,46,76,59,59,77,530
11103,84,21,78,36,72,53,85,50,479
11104,72,37,63,41,60,52,45,93,463
11105,69,42,52,35,72,35,41,40,386
11106,61,56,57,29,79,27,49,37,395
11107,56,16,74,71,67,51,60,36,431
11108,52,54,77,71,75,62,74,62,527
11109,65,71,53,41,54,41,59,77,461
11110,76,39,55,58,69,54,68,41,460
11111,68,40,74,29,74,50,51,59,445
11112,67,48,60,62,77,54,66,56,490
11113,80,41,51,51,70,52,65,50,460
11114,65,53,54,45,74,63,72,68,494
11115,59,32,86,50,70,25,69,70,461
11116,70,36,75,23,72,51,88,66,481
11117,70,24,57,51,67,55,93,10,427
11118,62,31,76,49,67,46,59,67,457
11119,62,25,76,63,78,24,70,52,450
11120,58,82,59,54,67,26,82,55,483
11121,65,85,73,47,59,47,73,48,497
11122,68,55,72,67,72,46,60,64,504
11123,77,44,66,62,70,52,79,41,491
11124,74,23,45,55,68,57,57,72,451
11125,79,45,57,39,59,48,75,65,467
11126,79,67,83,51,75,45,73,55,528
11127,79,78,75,44,66,28,75,51,496
11128,72,60,66,42,65,39,66,12,422
11129,74,86,73,60,85,44,42,48,512
11130,69,40,47,71,75,34,66,55,457
11131,77,42,61,58,72,66,76,54,506
11132,70,34,57,50,81,40,35,49,416
