ID,国語,数学,英語,理科,社会,体育
20014941,58,95,68,1,39,60
20014942,63,47,67,99,75,24
20014943,44,64,70,73,75,28
20014944,91,22,89,33,34,2
20014945,61,62,23,88,52,54
20014946,42,48,46,0,92,25
20014947,4,81,58,28,13,99
20014948,31,86,90,70,63,21
20014949,88,44,1,26,57,66
20014950,79,78,90,14,41,63
20014951,44,24,92,2,99,28
20014952,8,55,63,37,92,88
20014953,38,36,78,6,49,60
20014954,49,36,36,87,38,87
20014955,99,97,11,53,36,95
20014956,50,2,22,15,18,51
20014957,27,8,79,30,93,69
20014958,0,5,59,66,99,75
20014959,76,58,1,37,68,48
20014960,34,6,7,39,56,96
20014961,79,78,4,32,9,78
20014962,38,49,24,68,92,24
20014963,82,69,18,36,31,42
20014964,41,33,71,83,66,39
20014965,54,64,87,31,10,82
20014966,76,23,8,35,37,95
20014967,45,6,1,53,89,83
20014968,77,64,28,51,50,71
20014969,92,84,65,28,3,87
20014970,64,74,24,36,38,91
20014971,67,36,4,55,8,32
20014972,81,59,15,98,6,73
20014973,7,4,41,32,11,5
20014974,63,43,83,40,66,38
20014975,88,8,85,23,30,13
20014976,19,22,37,51,23,74
20014977,76,50,52,71,24,78
20014978,84,11,84,68,76,68
20014979,42,13,83,54,90,9
20014980,76,12,54,81,58,50
20014981,35,34,37,38,12,22
20014982,97,9,59,60,10,4
20014983,97,99,75,61,87,51
20014984,83,81,78,30,53,86
20014985,10,54,47,36,16,57
20014986,67,17,12,73,29,99
20014987,8,67,98,42,39,64
20014988,34,23,39,82,90,83
20014989,74,5,61,85,12,73
20014990,6,63,72,90,10,74
20014991,82,63,90,16,9,81
20014992,48,83,95,16,26,71
20014993,19,92,89,13,87,62
20014994,89,60,42,26,55,23
20014995,0,36,40,80,85,62
20014996,16,25,50,54,61,25
20014997,52,82,8,87,33,47
20014998,29,57,37,71,89,23
20014999,57,89,23,78,49,79
20015000,97,70,72,34,10,78
20015001,34,57,15,46,42,30
20015002,49,57,5,27,23,65
20015003,89,0,4,63,3,61
20015004,63,92,94,40,62,27
20015005,14,95,69,87,47,49
20015006,97,48,89,31,39,53
20015007,12,82,58,55,73,33
20015008,13,71,73,76,77,20
20015009,5,41,56,1,14,90
20015010,22,28,40,6,32,43
20015011,82,63,35,62,88,41
20015012,24,89,49,54,58,1
20015013,48,46,5,48,0,21
20015014,49,28,99,2,14,74
20015015,40,77,65,88,41,99
20015016,14,49,71,77,44,84
20015017,23,1,52,60,86,61
20015018,62,30,97,38,99,21
20015019,41,62,12,77,72,68
20015020,98,64,78,44,98,35
20015021,45,27,82,67,91,37
20015022,92,24,34,98,8,98
20015023,74,31,85,76,14,88
20015024,59,61,93,13,47,47
20015025,13,67,85,97,21,72
20015026,45,38,24,41,76,96
20015027,43,62,10,51,33,93
20015028,89,20,44,40,12,63
20015029,82,84,70,37,44,44
20015030,94,71,6,17,64,15
20015031,43,73,86,2,24,53
20015032,6,65,16,16,97,35
20015033,90,23,33,29,27,65
20015034,69,64,25,58,70,9
20015035,44,93,72,92,46,90
20015036,10,75,74,40,7,8
20015037,7,47,21,83,83,44
20015038,25,71,31,99,5,14
20015039,47,54,8,42,97,61
20015040,32,27,87,70,44,22
20015041,57,30,23,3,49,18
20015042,1,11,60,98,39,1
20015043,72,57,28,88,0,39
20015044,23,48,87,67,57,5
20015045,37,93,97,64,9,78
20015046,83,75,74,86,38,78
20015047,19,7,58,40,93,73
20015048,21,41,54,51,88,9
20015049,89,98,26,29,79,96
20015050,16,38,66,0,8,46
20015051,77,0,26,58,28,33
20015052,49,71,41,50,21,66
20015053,24,14,71,72,12,24
20015054,71,91,71,61,53,14
20015055,83,32,56,31,16,58
20015056,38,32,96,98,97,73
20015057,88,4,62,66,45,25
20015058,21,56,10,75,31,10
20015059,33,99,97,80,97,23
20015060,25,45,27,43,41,6
20015061,62,55,79,14,29,99
20015062,1,63,4,0,33,57
20015063,4,53,19,6,47,97
20015064,19,87,61,94,55,3
20015065,50,55,3,76,77,73
20015066,69,79,37,24,90,24
20015067,31,25,43,49,1,84
20015068,95,15,99,30,97,35
20015069,44,56,92,99,42,29
20015070,21,83,26,18,18,40
20015071,68,56,12,13,11,65
20015072,9,86,88,33,86,95
20015073,77,41,30,37,59,71
20015074,55,65,19,70,50,31
20015075,56,97,95,6,16,47
20015076,77,84,27,46,26,34
20015077,7,67,60,23,28,85
20015078,76,41,56,34,91,30
20015079,15,99,32,62,54,34
20015080,96,35,97,67,2,21
20015081,2,73,17,85,96,95
20015082,70,84,6,44,54,13
20015083,69,1,64,24,93,31
20015084,91,10,45,36,17,53
20015085,86,90,94,54,78,61
20015086,79,83,76,83,17,27
20015087,35,50,42,84,76,0
20015088,50,43,93,49,43,84
20015089,55,72,79,42,79,64
20015090,98,2,88,93,54,8
20015091,7,87,17,62,9,40
20015092,93,31,98,61,75,74
20015093,87,54,24,58,19,82
20015094,3,48,28,66,54,18
20015095,35,17,81,22,5,74
20015096,98,92,33,38,20,81
20015097,31,26,29,8,22,11
20015098,8,53,48,95,51,92
20015099,28,6,72,43,92,6
20015100,25,33,73,15,20,75
20015101,41,39,23,2,99,86
20015102,56,49,65,74,97,52
20015103,35,43,44,81,93,52
20015104,57,33,55,48,31,96
20015105,5,86,72,51,85,11
20015106,73,87,93,7,67,27
20015107,37,10,18,65,2,73
20015108,37,21,95,47,66,91
20015109,53,51,82,32,35,83
20015110,88,7,17,84,15,22
20015111,21,36,27,19,3,72
20015112,23,57,77,81,16,20
20015113,99,90,75,98,15,73
20015114,64,0,81,36,33,88
20015115,40,8,84,47,33,26
20015116,69,48,19,72,82,88
20015117,98,58,84,37,38,78
20015118,18,81,59,43,37,91
20015119,98,98,21,51,11,63
20015120,1,47,2,82,37,30
20015121,69,63,89,63,4,62
20015122,22,0,10,10,22,17
20015123,22,2,52,15,91,54
20015124,6,8,90,58,67,98
20015125,61,29,92,7,47,3
20015126,86,47,37,35,45,83
20015127,21,6,68,64,60,45
20015128,45,40,49,67,8,28
20015129,72,32,31,70,94,47
20015130,17,53,70,38,63,0
20015131,21,74,61,53,18,13
20015132,82,91,17,35,68,76
20015133,54,12,22,88,42,99
20015134,41,59,90,22,53,85
20015135,86,79,12,14,88,74
20015136,73,24,28,31,91,23
20015137,43,90,27,91,16,58
20015138,34,0,45,13,50,89
20015139,52,4,98,79,31,66
20015140,52,22,50,49,24,84
20015141,4,60,77,59,77,82
20015142,10,39,87,57,17,14
20015143,19,24,87,5,88,22
20015144,84,24,79,54,34,45
20015145,96,68,60,77,55,72
20015146,34,24,89,1,8,81
20015147,4,31,64,75,95,36
20015148,45,76,94,50,20,44
20015149,82,92,67,54,28,89
20015150,16,50,40,73,96,50
20015151,25,86,81,28,97,72
20015152,97,4,51,59,43,38
20015153,95,66,59,2,96,53
20015154,42,65,15,99,68,42
20015155,19,60,93,99,33,41
20015156,11,53,26,48,55,14
20015157,33,26,3,69,69,4
20015158,87,51,14,80,81,16
20015159,63,69,70,11,58,53
20015160,66,79,27,22,31,69
20015161,7,33,94,32,52,82
20015162,4,68,91,30,75,54
20015163,9,34,52,60,65,4
20015164,49,92,1,3,85,84
20015165,40,85,2,81,24,26
20015166,84,24,68,28,5,16
20015167,34,35,76,89,6,36
20015168,13,81,20,59,85,71
20015169,50,76,95,13,31,94
20015170,71,74,40,47,96,7
20015171,52,54,0,5,41,71
20015172,43,18,46,74,15,28
20015173,36,37,42,94,16,17
20015174,88,27,52,92,70,8
20015175,8,84,74,81,2,99
20015176,93,25,69,0,53,96
20015177,31,20,45,86,54,25
20015178,31,25,83,39,42,30
20015179,56,72,87,6,17,59
20015180,47,20,95,55,20,39
20015181,87,53,21,76,95,24
20015182,5,18,65,48,69,62
20015183,4,62,87,7,30,23
20015184,56,94,79,20,22,48
20015185,39,69,98,69,68,24
20015186,93,14,0,55,35,24
20015187,9,70,10,28,12,48
20015188,7,84,49,67,38,79
20015189,92,18,70,10,54,59
20015190,60,44,51,65,27,57
20015191,42,60,22,51,83,1
20015192,84,58,33,97,81,3
20015193,16,23,4,79,37,33
20015194,83,18,53,23,84,2
20015195,81,58,66,42,5,62
20015196,94,62,79,70,26,38
20015197,26,17,47,18,97,36
20015198,13,7,60,19,87,88
20015199,29,27,36,59,68,21
20015200,72,32,6,89,66,41
20015201,72,22,80,38,77,87
20015202,23,93,99,59,39,65
20015203,71,40,62,24,26,59
20015204,19,78,97,9,82,18
20015205,35,82,79,79,0,76
20015206,68,51,64,83,53,3
20015207,3,2,6,27,51,32
20015208,55,52,19,75,57,37
20015209,2,5,67,19,65,61
20015210,81,50,27,9,16,71
20015211,64,91,16,46,55,8
20015212,66,98,70,88,38,30
20015213,2,91,32,12,12,34
20015214,16,60,58,48,69,86
20015215,32,62,84,47,73,37
20015216,45,33,99,54,65,71
20015217,59,75,70,42,78,91
20015218,81,37,84,48,13,81
20015219,71,7,26,71,71,8
20015220,18,24,34,1,75,44
20015221,53,53,11,61,40,67
20015222,9,39,62,21,82,79
20015223,52,7,36,38,1,73
20015224,27,45,7,28,49,97
20015225,73,30,32,40,78,83
20015226,91,95,85,52,44,30
20015227,11,38,0,78,15,94
20015228,5,36,78,98,71,93
20015229,95,36,42,37,54,13
20015230,75,93,45,3,28,59
20015231,89,91,98,14,95,63
20015232,38,11,52,94,53,60
20015233,3,14,0,59,24,76
20015234,97,87,14,26,71,48
20015235,62,28,56,2,66,49
20015236,17,93,26,65,89,71
20015237,64,77,93,28,56,5
20015238,29,6,25,21,86,51
20015239,31,66,2,30,32,1
20015240,78,19,2,48,43,62
20015241,94,13,35,91,8,92
20015242,94,29,48,10,21,34
20015243,29,85,22,89,29,72
20015244,37,18,18,87,56,59
20015245,78,64,10,80,44,30
20015246,38,61,66,31,4,45
20015247,2,90,88,35,29,34
20015248,50,85,64,8,6,87
20015249,13,28,49,53,12,68
20015250,56,51,94,6,5,95
20015251,32,13,59,99,51,20
20015252,76,61,22,55,59,5
20015253,80,72,81,4,30,76
20015254,40,73,5,49,9,90
20015255,54,63,2,65,14,49
20015256,60,92,14,87,34,97
20015257,72,45,50,21,17,91
20015258,43,74,39,71,62,83
20015259,57,31,80,85,99,57
20015260,31,3,33,23,46,65
20015261,63,24,2,23,4,27
20015262,57,69,95,67,69,90
20015263,22,15,14,82,88,38
20015264,43,73,40,62,44,23
20015265,65,67,7,92,4,12
20015266,68,13,55,5,6,0
20015267,64,95,82,67,66,98
20015268,37,97,28,63,90,10
20015269,21,15,12,20,82,85
20015270,67,61,30,85,9,45
20015271,80,10,58,1,36,26
20015272,61,24,62,19,97,88
20015273,56,2,16,84,9,11
20015274,81,80,11,42,10,64
20015275,78,84,30,85,32,52
20015276,0,83,72,27,72,35
20015277,19,88,45,41,97,92
20015278,65,21,74,45,34,6
20015279,97,18,88,13,89,68
20015280,89,27,82,2,50,11
20015281,97,84,73,73,71,73
20015282,58,60,45,73,89,17
20015283,90,2,5,66,34,72
20015284,49,89,4,76,15,22
20015285,57,63,30,11,45,31
20015286,19,8,60,46,16,82
20015287,12,47,31,35,2,3
20015288,92,2,80,10,40,74
20015289,17,55,70,60,85,12
20015290,22,15,21,97,5,67
20015291,2,4,86,12,24,3
20015292,76,50,82,83,75,23
20015293,23,85,29,78,17,8
20015294,69,89,45,58,98,70
20015295,28,96,41,31,66,46
20015296,73,10,92,47,32,57
20015297,26,30,20,96,38,53
20015298,47,26,98,47,54,76
20015299,66,87,24,29,96,26
20015300,23,15,42,85,62,68
20015301,21,50,55,13,3,75
20015302,19,97,35,64,46,78
20015303,47,67,72,58,93,51
20015304,93,90,59,37,59,60
20015305,94,79,1,37,13,98
20015306,88,34,89,74,12,71
20015307,75,84,22,48,94,71
20015308,36,27,25,42,25,74
20015309,37,62,52,27,19,51
20015310,41,27,34,87,83,0
20015311,72,49,59,50,88,77
20015312,31,18,30,54,97,34
20015313,49,49,70,97,28,7
20015314,96,15,50,5,7,29
20015315,49,34,19,92,93,99
20015316,89,96,70,53,77,31
20015317,28,61,11,43,39,72
20015318,22,0,27,44,43,80
20015319,61,44,89,12,32,53
20015320,40,90,74,77,81,81
20015321,17,13,21,71,83,71
20015322,59,7,40,74,5,19
20015323,60,80,8,9,88,16
20015324,95,62,62,41,77,22
20015325,35,81,44,8,4,93
20015326,47,26,91,18,38,70
20015327,7,32,79,17,80,12
20015328,79,33,20,67,4,40
20015329,63,24,50,32,37,83
20015330,50,22,46,35,0,71
20015331,0,26,87,9,93,43
20015332,33,93,37,34,59,7
20015333,45,53,30,83,41,42
20015334,78,11,40,85,77,34
20015335,9,87,95,33,17,15
20015336,80,41,56,55,2,48
20015337,16,15,38,23,21,80
20015338,97,41,7,47,49,94
20015339,47,43,6,62,3,59
20015340,3,39,49,72,76,31
20015341,45,59,71,63,79,77
20015342,75,56,72,80,28,65
20015343,9,17,88,66,87,15
20015344,15,39,60,18,16,41
20015345,9,90,24,78,98,57
20015346,93,6,93,89,99,54
20015347,59,76,3,96,14,43
20015348,83,33,8,75,33,28
20015349,26,21,16,85,54,99
20015350,81,97,36,66,50,84
20015351,92,92,98,79,72,27
20015352,17,65,56,21,11,96
20015353,94,75,38,80,22,41
20015354,30,50,19,47,3,16
20015355,41,90,91,51,98,8
20015356,50,70,30,80,65,67
20015357,85,17,34,87,7,26
20015358,70,46,20,34,12,8
20015359,88,22,44,59,74,20
20015360,75,69,37,3,47,16
20015361,32,65,76,94,33,99
20015362,50,19,5,58,71,14
20015363,83,33,54,18,16,52
20015364,35,98,47,92,79,64
20015365,53,22,74,38,97,67
20015366,3,13,74,35,98,32
20015367,78,89,40,80,9,28
20015368,44,24,42,70,66,49
20015369,0,85,5,56,31,85
20015370,53,18,48,92,55,21
20015371,20,3,8,60,57,17
20015372,38,36,28,95,45,2
20015373,19,92,56,80,98,30
20015374,49,4,12,19,61,95
20015375,69,75,91,76,43,83
20015376,44,92,56,25,11,91
20015377,7,37,34,40,73,71
20015378,3,19,15,24,95,83
20015379,49,26,75,3,45,12
20015380,55,60,11,60,99,34
20015381,71,53,16,19,47,26
20015382,23,2,93,24,27,44
20015383,23,84,65,48,93,15
20015384,55,6,22,39,32,5
20015385,35,67,89,78,74,23
20015386,80,94,39,97,45,38
20015387,45,20,80,93,43,87
20015388,90,57,4,70,44,44
20015389,76,40,43,90,92,90
20015390,53,36,69,37,2,20
20015391,79,60,62,17,17,93
20015392,6,57,44,60,45,98
20015393,38,88,10,58,34,52
20015394,56,57,18,49,37,22
20015395,78,83,85,3,77,98
20015396,95,50,48,22,77,85
20015397,78,84,62,53,98,91
20015398,20,71,28,35,62,19
20015399,43,86,5,4,25,13
20015400,83,47,10,40,70,65
20015401,54,10,2,1,61,60
20015402,18,87,80,17,98,40
20015403,25,8,68,23,85,88
20015404,57,29,5,94,8,55
20015405,61,70,2,10,62,48
20015406,30,93,1,81,74,68
20015407,38,65,0,8,55,81
20015408,81,50,17,88,14,7
20015409,52,5,61,82,48,35
20015410,36,42,90,35,1,40
20015411,12,66,96,81,11,7
20015412,55,73,76,53,67,40
20015413,71,45,22,65,26,38
20015414,55,99,52,72,48,27
20015415,17,98,56,52,19,25
20015416,49,18,72,4,36,1
20015417,49,8,28,98,97,84
20015418,0,71,77,11,29,31
20015419,65,51,21,10,28,45
20015420,97,0,98,56,22,29
20015421,2,54,86,33,17,45
20015422,59,20,92,21,88,85
20015423,23,80,51,31,90,88
20015424,78,19,2,67,0,19
20015425,40,82,96,68,91,54
20015426,23,66,23,14,62,48
20015427,20,54,22,49,22,76
20015428,37,83,30,26,86,23
20015429,43,5,29,55,43,19
20015430,9,45,63,53,86,61
20015431,53,28,69,43,5,53
20015432,22,52,33,18,26,34
20015433,37,94,24,50,76,35
20015434,73,33,49,93,3,3
20015435,90,99,10,10,40,96
20015436,90,3,98,16,43,97
20015437,15,1,82,67,24,84
20015438,43,33,24,2,47,77
20015439,52,56,12,42,94,89
20015440,42,31,97,5,55,40
20015441,35,87,91,62,96,40
20015442,9,51,28,96,13,54
20015443,57,96,96,40,46,8
20015444,40,9,56,54,66,87
20015445,60,44,68,96,50,22
20015446,52,12,71,60,76,18
20015447,43,48,73,97,84,27
20015448,11,70,15,65,47,66
20015449,95,91,96,21,29,29
20015450,83,82,55,23,71,79
20015451,48,63,78,23,80,31
20015452,7,73,20,97,66,92
20015453,86,29,94,54,78,21
20015454,17,55,76,67,71,74
20015455,0,58,98,21,62,40
20015456,24,13,1,28,13,16
20015457,52,11,80,95,74,79
20015458,85,13,77,21,6,69
20015459,71,34,56,77,11,27
20015460,56,91,12,93,52,12
20015461,9,33,15,65,69,29
20015462,60,65,54,96,27,87
20015463,99,11,88,99,53,44
20015464,54,33,55,41,27,91
20015465,65,61,49,46,64,51
20015466,83,45,21,36,24,2
20015467,11,41,84,9,89,14
20015468,2,39,87,64,37,92
20015469,15,88,99,40,6,9
20015470,69,68,69,82,81,70
20015471,48,49,94,1,96,16
20015472,79,75,4,92,45,82
20015473,18,72,52,83,12,31
20015474,88,73,91,93,22,93
20015475,91,2,63,21,48,11
20015476,60,12,28,0,45,94
20015477,24,73,48,67,46,22
20015478,38,5,23,4,18,26
20015479,73,33,89,61,88,36
20015480,48,23,91,34,79,17
20015481,96,53,69,75,56,97
20015482,86,17,78,70,56,68
20015483,36,3,39,62,62,74
20015484,50,77,98,3,38,98
20015485,25,78,5,17,13,77
20015486,5,83,61,90,72,78
20015487,25,41,24,66,62,70
20015488,73,58,99,6,36,5
20015489,84,16,66,87,39,2
20015490,74,64,4,26,83,59
20015491,43,29,13,15,17,79
20015492,77,17,13,44,66,57
20015493,71,5,2,10,50,53
20015494,15,28,68,99,64,46
20015495,73,5,4,70,9,64
20015496,53,33,82,20,58,43
20015497,80,70,93,1,29,25
20015498,9,24,1,45,60,75
20015499,41,26,57,18,46,45
20015500,15,6,55,38,73,92
20020001,68,42,44,76,69,91
20020002,94,87,56,91,86,87
20020003,47,38,88,26,65,33
20020004,34,35,1,71,41,59
20020005,9,26,4,28,93,39
20020006,74,68,12,57,20,62
20020007,87,16,97,6,98,50
20020008,47,78,72,1,9,38
20020009,64,58,63,24,10,84
20020010,80,64,58,14,92,20
20020011,54,35,52,41,92,93
20020012,89,65,64,6,17,52
20020013,81,22,54,7,93,0
20020014,82,46,87,66,53,54
20020015,91,86,36,37,30,72
20020016,96,85,99,85,21,28
20020017,46,35,75,93,82,80
20020018,14,31,8,5,99,53
20020019,81,98,50,56,10,16
20020020,23,3,69,43,52,6
20020021,75,77,36,76,55,65
20020022,12,60,40,69,79,75
20020023,9,94,24,98,49,27
20020024,74,24,79,21,98,76
20020025,42,65,12,94,98,14
20020026,25,18,75,17,85,37
20020027,36,80,91,4,58,76
20020028,46,81,68,91,80,64
20020029,31,49,59,18,56,3
20020030,28,36,2,8,41,92
20020031,65,34,75,69,72,4
20020032,60,98,30,33,14,76
20020033,7,50,28,61,42,12
20020034,34,71,90,68,46,22
20020035,46,44,5,30,61,66
20020036,68,60,9,4,72,2
20020037,78,82,42,7,36,78
20020038,43,23,74,93,93,47
20020039,63,56,58,78,5,17
20020040,56,88,87,84,67,83
20020041,40,95,84,85,51,61
20020042,16,62,95,95,99,90
20020043,8,49,62,54,99,51
20020044,38,8,54,85,66,70
20020045,58,54,11,63,19,46
20020046,97,49,77,43,42,53
20020047,31,7,36,66,88,62
20020048,9,67,39,87,68,98
20020049,93,55,82,99,0,81
20020050,9,40,99,91,16,71
20020051,76,45,83,29,78,28
20020052,11,90,6,55,80,42
20020053,46,61,61,11,28,4
20020054,17,88,14,52,50,68
20020055,35,16,10,37,87,99
20020056,22,61,33,68,84,32
20020057,66,18,17,68,26,44
20020058,96,46,69,59,86,28
20020059,12,86,84,68,14,4
20020060,52,6,7,34,17,96
20020061,21,34,35,4,74,11
20020062,20,30,96,18,13,86
20020063,12,53,33,85,22,91
20020064,19,14,66,97,90,74
20020065,24,69,34,22,1,56
20020066,10,48,29,88,82,26
20020067,68,38,80,20,41,42
20020068,1,38,3,64,29,74
20020069,65,16,78,88,30,34
20020070,68,82,21,60,2,33
20020071,70,26,35,79,38,8
20020072,36,68,11,24,79,38
20020073,43,70,49,56,22,49
20020074,37,88,57,0,16,36
20020075,2,32,61,17,4,0
20020076,62,24,52,91,1,67
20020077,31,54,64,53,31,39
20020078,25,30,25,64,91,91
20020079,27,74,88,72,81,93
20020080,37,10,97,36,88,40
20020081,30,95,84,63,74,94
20020082,11,20,78,48,98,28
20020083,25,30,25,22,61,67
20020084,12,28,44,0,98,32
20020085,23,47,90,93,96,96
20020086,67,80,29,42,15,42
20020087,44,87,51,23,24,89
20020088,76,19,80,23,29,59
20020089,87,30,23,82,92,14
20020090,20,69,43,39,83,93
20020091,34,10,48,75,34,82
20020092,95,20,49,31,11,74
20020093,69,73,45,47,92,99
20020094,60,28,10,96,53,13
20020095,96,21,51,61,12,72
20020096,54,54,76,23,79,34
20020097,79,36,59,68,26,82
20020098,33,64,24,39,59,77
20020099,49,68,91,61,96,30
20020100,97,39,58,24,89,40
20020101,51,88,4,61,59,13
20020102,68,48,78,23,78,1
20020103,43,35,83,12,64,20
20020104,95,73,55,9,50,4
20020105,42,12,16,84,83,19
20020106,49,8,26,16,89,4
20020107,67,87,95,89,46,70
20020108,26,23,97,95,31,88
20020109,83,36,62,74,48,33
20020110,88,58,30,83,79,61
20020111,78,75,56,33,2,56
20020112,74,87,54,82,84,76
20020113,23,40,71,15,51,80
20020114,85,85,32,1,59,46
20020115,89,22,22,87,73,87
20020116,11,47,77,19,15,48
20020117,77,97,92,35,10,34
20020118,21,48,92,33,88,41
20020119,26,36,2,58,63,53
20020120,47,72,62,86,21,72
20020121,19,66,18,60,73,59
20020122,17,43,90,42,92,71
20020123,55,26,8,32,9,50
20020124,33,4,0,15,48,33
20020125,95,56,44,66,51,48
20020126,71,96,9,56,62,96
20020127,93,93,68,16,12,11
20020128,97,7,83,29,63,31
20020129,98,25,37,70,64,44
20020130,61,76,31,5,52,98
20020131,37,86,0,80,16,88
20020132,97,51,54,87,45,20
20020133,60,50,63,87,7,8
20020134,2,14,54,12,7,70
20020135,64,93,30,14,6,58
20020136,79,6,36,69,60,70
20020137,95,70,86,20,14,67
20020138,40,23,23,85,99,91
20020139,58,82,59,89,36,25
20020140,39,85,27,93,76,95
20020141,80,87,33,74,23,1
20020142,29,28,32,5,61,94
20020143,58,93,97,8,63,1
20020144,14,54,10,59,5,46
20020145,53,13,15,55,53,73
20020146,86,1,42,8,24,11
20020147,83,70,69,2,3,10
20020148,88,68,27,28,17,59
20020149,91,59,49,20,18,61
20020150,29,16,14,80,19,43
20020151,4,61,1,77,22,84
20020152,19,57,24,82,6,99
20020153,83,39,5,81,74,93
20020154,24,10,13,37,93,36
20020155,46,6,95,76,28,25
20020156,69,9,62,70,67,2
20020157,22,36,35,87,48,29
20020158,68,78,33,4,49,3
20020159,15,42,93,61,44,19
20020160,74,9,42,35,6,79
20020161,21,98,40,48,71,93
20020162,11,52,79,56,65,77
20020163,23,7,52,67,10,36
20020164,16,34,92,83,82,63
20020165,12,36,69,10,62,41
20020166,54,4,5,60,20,93
20020167,37,88,65,86,44,94
20020168,21,79,36,28,32,57
20020169,22,46,9,77,67,18
20020170,94,76,42,52,65,47
20020171,80,13,60,67,70,0
20020172,10,59,54,1,78,7
20020173,3,46,96,65,73,78
20020174,22,25,90,18,90,34
20020175,31,11,8,11,50,22
20020176,91,12,68,3,14,44
20020177,33,55,54,54,95,58
20020178,37,19,11,86,62,82
20020179,66,17,49,51,20,71
20020180,85,82,25,61,23,94
20020181,23,86,32,40,6,78
20020182,23,61,79,12,25,21
20020183,88,50,19,42,4,89
20020184,2,47,23,88,67,12
20020185,8,15,49,57,92,4
20020186,74,3,90,77,62,81
20020187,51,17,8,21,3,99
20020188,37,65,12,47,80,62
20020189,54,62,26,91,80,73
20020190,84,82,35,23,93,11
20020191,34,5,7,24,92,58
20020192,65,48,2,62,54,49
20020193,17,57,88,56,40,59
20020194,74,27,63,44,90,62
20020195,8,51,72,49,79,68
20020196,48,80,53,85,87,98
20020197,57,68,19,65,28,91
20020198,22,66,7,83,47,72
20020199,29,77,50,83,98,5
20020200,5,48,39,69,57,63
20020201,21,85,54,94,55,33
20020202,96,61,70,56,71,16
20020203,8,43,42,93,40,12
20020204,92,80,33,69,21,23
20020205,7,34,84,75,17,15
20020206,21,74,11,91,1,57
20020207,22,88,68,32,26,79
20020208,66,2,55,89,41,30
20020209,30,44,17,69,70,49
20020210,77,47,55,86,55,56
20020211,67,2,42,45,27,42
20020212,30,73,91,16,81,65
20020213,93,14,3,83,99,20
20020214,94,49,25,52,44,32
20020215,26,92,82,41,28,24
20020216,91,0,95,40,16,55
20020217,34,35,18,65,77,80
20020218,87,3,93,0,9,35
20020219,11,1,4,29,72,62
20020220,32,33,86,11,18,94
20020221,37,32,67,29,70,4
20020222,37,83,93,49,76,63
20020223,94,14,11,85,68,77
20020224,28,16,26,5,4,86
20020225,21,20,62,44,21,95
20020226,5,23,74,66,15,53
20020227,90,61,85,3,67,3
20020228,76,49,20,56,50,7
20020229,74,51,36,25,2,87
20020230,50,45,51,81,47,59
20020231,22,99,32,0,23,60
20020232,71,16,51,82,91,39
20020233,81,77,29,35,86,54
20020234,46,37,55,73,51,75
20020235,76,19,34,65,16,3
20020236,4,98,75,29,8,43
20020237,61,54,38,94,69,47
20020238,98,92,8,20,59,98
20020239,32,70,45,1,58,86
20020240,2,1,19,43,23,81
20020241,22,4,42,86,80,39
20020242,45,20,99,78,83,52
20020243,59,18,47,39,59,70
20020244,18,64,30,35,25,47
20020245,63,62,2,80,89,17
20020246,1,67,1,47,91,75
20020247,96,72,45,14,68,14
20020248,0,56,70,80,93,35
20020249,6,85,72,77,85,58
20020250,70,79,83,23,16,47
20020251,66,49,15,14,74,67
20020252,3,30,90,26,39,62
20020253,11,53,56,96,72,62
20020254,65,44,86,99,10,51
20020255,53,57,35,80,17,98
20020256,90,75,49,95,47,73
20020257,78,98,66,49,92,36
20020258,48,26,24,60,8,17
20020259,24,19,4,33,66,27
20020260,28,50,38,24,99,95
20020261,65,72,62,25,85,97
20020262,21,66,84,89,15,53
20020263,20,23,13,75,60,63
20020264,14,28,69,1,28,8
20020265,35,40,91,96,97,7
20020266,76,94,70,8,29,51
20020267,64,40,88,34,21,89
20020268,46,89,66,33,61,32
20020269,57,97,89,75,9,10
20020270,83,78,15,9,91,99
20020271,56,73,3,73,3,66
20020272,51,86,13,28,71,37
20020273,30,15,86,51,15,5
20020274,52,74,41,21,82,89
20020275,80,6,67,87,99,76
20020276,72,71,43,98,78,18
20020277,80,46,30,13,8,38
20020278,46,81,78,1,62,9
20020279,33,89,11,31,13,78
20020280,69,35,86,40,60,66
20020281,45,57,36,89,92,26
20020282,42,45,85,15,65,23
20020283,66,15,62,34,2,42
20020284,18,64,77,45,73,4
20020285,4,51,19,17,63,65
20020286,7,87,54,86,21,51
20020287,4,80,66,20,31,43
20020288,84,58,42,93,93,49
20020289,44,70,98,85,2,24
20020290,17,96,0,64,62,26
20020291,85,89,31,14,21,77
20020292,21,47,63,49,75,23
20020293,34,1,50,73,81,39
20020294,25,46,31,10,81,28
20020295,7,50,8,26,28,57
20020296,11,4,29,20,70,25
20020297,42,61,36,92,77,62
20020298,11,0,73,10,1,34
20020299,42,77,61,87,70,2
20020300,39,9,64,99,74,79
20020301,34,61,5,60,54,58
20020302,92,49,4,87,31,19
20020303,35,69,39,23,39,6
20020304,23,97,25,24,77,16
20020305,59,88,68,59,40,87
20020306,0,42,57,93,87,96
20020307,24,70,15,69,28,39
20020308,51,8,57,32,56,83
20020309,47,32,58,53,32,55
20020310,80,14,61,85,51,74
20020311,66,0,22,2,26,73
20020312,17,99,81,60,33,37
20020313,21,69,99,16,22,66
